question,translation,GPT-Score,Google Translate,Score,ChatGPT (no schema),Score
How much in total does customer with first name as Carole and last name as Bernhard paid?,"كم قد دفع العميل الذي يحمل الاسم الأول ""كارول"" والاسم الأخير ""بيرنهارد"" بالإجمال؟",,,,,
What is the total amount of moeny paid by the customer Carole Bernhard?,ما هو إجمالي المبلغ المالي الذي دفعه العميل كارول بيرنهارد؟,,,,,
List the number of customers that did not have any payment history.,قائمة بعدد العملاء الذين ليس لديهم أي سجل دفع.,,,,,
How many customers have no payment histories?,كم عدد العملاء الذين ليس لديهم سجلات دفع؟,,,,,
List first name and last name of customers that have more than 2 payments.,أذكر الاسم الأول والاسم الأخير للعملاء الذين لديهم أكثر من دفعتين.,,,,,
What are the first and last names of all customers with more than 2 payments?,ما هي الأسماء الأولى والأخيرة لجميع العملاء الذين لديهم أكثر من دفعتين؟,,,,,
List all payment methods and number of payments using each payment methods.,قائمة جميع وسائل الدفع وعدد المدفوعات باستخدام كل وسيلة دفع؟,,,,,
"For each payment method, how many payments were made?",لكل وسيلة دفع، كم عدد المدفوعات التي تمت؟,,,,,
How many lessons were in cancelled state?,كم عدد الدروس التي كانت في حالة الإلغاء؟,,,,,
How many lessons have been cancelled?,كم عدد الدروس التي تم إلغاؤها؟,,,,,
"List lesson id of all lessons taught by staff with first name as Janessa, last name as Sawayn and nickname containing letter 's'.","قائمة بمعرف الدرس لجميع الدروس التي قدمها الموظف الذي لديه الاسم الأول ""جانيسا""، الاسم الأخير ""ساوين""، والاسم الحركي يحتوي على الحرف 's'.",,,,,
What are the the lesson ids of all staff taught by Janessa Sawayn whose nickname has the letter s?,ما هي هويات الدروس لكل الموظفين الذين قاموا بتدريسهم جانيسا ساوين ولديهم لقب يحتوي على الحرف s؟,,,,,
How many lessons taught by staff whose first name has letter 'a' in it?,كم عدد الدروس التي قام بها الموظفون الذين يحملون حرف 'a' في أسمائهم؟,,,,,
How many lessons were taught by a staff member whose first name has the letter 'a' in it?,كم عدد الدروس التي قام بها موظف يحمل الحرف 'a' في اسمه الأول؟,,,,,
How long is the total lesson time taught by staff with first name as Janessa and last name as Sawayn?,ما هو إجمالي وقت الدرس الذي قدمه الموظف الذي يحمل اسم جانيسا ولقب سوين؟,,,,,
What is the total time for all lessons taught by Janessa Sawayn?,,,,,,
What is average lesson price taught by staff with first name as Janessa and last name as Sawayn?,"ما هو متوسط سعر الدرس الذي يدرسه الموظف الذي يحمل الاسم الأول ""جانيسا"" والاسم الأخير ""ساوين""؟",,,,,
What is the average price for a lesson taught by Janessa Sawayn?,ما هو السعر المتوسط لدرس يدرسه جانيسا ساوين؟,,,,,
How many lesson does customer with first name Ray took?,"كم عدد الدروس التي أخذها العميل الذي يحمل الاسم الأول ""راي""؟",,,,,
How many lessons did the customer with the first name Ray take?,"كم عدد الدروس التي أخذها العميل الذي يحمل الاسم الأول ""راي""؟",,,,,
Which last names are both used by customers and by staff?,ما هي الأسماء الأخيرة التي يستخدمها عملاء وموظفون؟,,,,,
What are the last names that are used by customers and staff?,ما هي الأسماء الأخيرة التي يستخدمها العملاء والموظفون؟,,,,,
What is the first name of the staff who did not give any lesson?,ما هو الاسم الأول للموظف الذي لم يقدم أي درس؟,,,,,
What is the first name of all employees who do not give any lessons?,ما هو الاسم الأول لجميع الموظفين الذين لا يقدمون أي دروس؟,,,,,
What is the id and detail of the vehicle used in lessons for most of the times?,ما هو رقم التعريف والتفاصيل للمركبة المستخدمة في الدروس معظم الأوقات؟,,,,,
How many faculty do we have?,كم عدد أعضاء هيئة التدريس لدينا؟,,,,,
What is the total number of faculty members?,ما هو إجمالي عدد أعضاء هيئة التدريس؟,,,,,
What ranks do we have for faculty?,ما هي الرتب التي لدينا لأعضاء هيئة التدريس؟,,,,,
Find the list of distinct ranks for faculty.,ابحث عن قائمة الرتب المتميزة لأعضاء هيئة التدريس.,,,,,
Show all the distinct buildings that have faculty rooms.,أظهر جميع المباني المتميزة التي تحتوي على غرف لأعضاء هيئة التدريس.,,,,,
What buildings have faculty offices?,ما هي المباني التي تحتوي على مكاتب لأعضاء هيئة التدريس؟,,,,,
"Show the rank, first name, and last name for all the faculty.",أظهر الرتبة، الاسم الأول، والاسم الأخير لجميع أعضاء هيئة التدريس.,,,,,
"What are the rank, first name, and last name of the faculty members?",ما هي الرتبة، والاسم الأول، والاسم الأخير لأعضاء هيئة التدريس؟,,,,,
"Show the first name, last name, and phone number for all female faculty members.",أظهر الاسم الأول، والاسم الأخير، ورقم الهاتف لجميع أعضاء هيئة التدريس الإناث.,,,,,
"What are the first name, last name, and phone number of all the female faculty members?",ما هي الاسم الأول، والاسم الأخير، ورقم الهاتف لجميع أعضاء هيئة التدريس الإناث؟,,,,,
Show ids for all the male faculty.,أظهر الهويات لجميع أعضاء هيئة التدريس الذكور.,,,,,
What are the faculty ids of all the male faculty members?,ما هي هويات أعضاء هيئة التدريس الذكور؟,,,,,
